更新时间,#genre#
20260622-09-04-08,url


RespoTime,whitelist,#genre#
292.33ms,CCTV1,https://t.freetv.fun/live/cctv1-4.m3u8
613.61ms,CCTV1,http://60.4.30.177:8077/rtp/239.253.92.83:8012
596.45ms,CCTV1,http://114.226.212.153:8787/rtp/239.49.8.129:6000
613.06ms,CCTV1,http://114.226.212.153:8787/rtp/239.49.8.19:9614
610.59ms,CCTV1,http://114.226.212.154:8787/rtp/239.49.8.19:9614
612.03ms,CCTV1,http://39.77.24.219:4002/rtp/239.253.254.77:8000
604.77ms,CCTV1,http://121.29.215.105:2083/rtp/239.253.92.83:8012
585.73ms,CCTV1,http://39.77.159.240:4002/rtp/239.253.254.77:8000
239.37ms,CCTV1,https://t.freetv.fun/live/cctv1-7.m3u8
588.48ms,CCTV1,http://39.77.159.13:4002/rtp/239.253.254.89:8000
301.01ms,CCTV1,https://t.freetv.fun/live/cctv1-3.m3u8
226.00ms,CCTV1,https://t.freetv.fun/live/cctv1-8.m3u8
139.65ms,CCTV1,https://t.freetv.fun/live/cctv1-11.m3u8
596.45ms,CCTV1,http://116.2.162.41:4010/rtp/232.0.0.27:1234
594.56ms,CCTV1,http://114.226.212.154:8787/rtp/239.49.8.129:6000
614.26ms,CCTV1,http://59.174.162.239:4022/rtp/239.254.96.96:8550
612.13ms,CCTV1,http://221.220.128.207:8012/rtp/239.3.1.129:8008
166.64ms,CCTV1,https://t.freetv.fun/live/cctv-1-2.m3u8
611.65ms,CCTV1,http://1.192.241.97:8188/rtp/239.16.20.1:10010
610.23ms,CCTV1,http://39.77.24.219:4002/rtp/239.253.254.89:8000
603.72ms,CCTV1,http://114.226.212.155:8787/rtp/239.49.8.129:6000
161.27ms,CCTV1,https://t.freetv.fun/live/cctv-1-3.m3u8
603.46ms,CCTV1,http://171.8.168.212:8800/rtp/239.16.20.1:10010
601.92ms,CCTV1,http://39.77.159.240:4002/rtp/239.253.254.89:8000
231.81ms,CCTV1,https://t.freetv.fun/live/cctv1.m3u8
609.77ms,CCTV1,http://123.118.54.216:8686/rtp/239.3.1.129:8008
591.66ms,CCTV1,http://39.77.159.13:4002/rtp/239.253.254.77:8000
248.24ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
574.24ms,CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8
