更新时间,#genre#
20251124-14-02-40,url


RespoTime,whitelist,#genre#
437.69ms,CCTV1,http://114.254.33.252:18888/rtp/239.3.1.129:8008
435.56ms,CCTV1,http://61.159.135.155:4022/rtp/238.255.2.91:5999
441.49ms,CCTV1,http://223.198.242.106:4000/rtp/239.253.64.120:5140
441.75ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.81:8176
444.15ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.194:4120
450.37ms,CCTV1,http://118.78.196.204:55555/rtp/226.0.2.153:9136
463.91ms,CCTV1,http://1.195.227.213:8822/rtp/239.16.20.1:10010
465.67ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.200.2:8080
465.80ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.201.45:8800
470.27ms,CCTV1,http://60.172.82.22:8686/rtp/238.1.78.166:7200
471.54ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.200.117:8712
473.46ms,CCTV1,http://106.59.3.203:55555/rtp/239.200.200.14:8852
480.30ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.1:8008
495.71ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.210:8068
495.51ms,CCTV1,http://1.58.246.115:4001/rtp/229.58.190.151:5000
499.07ms,CCTV1,http://1.58.246.115:4000/rtp/229.58.190.72:5000
502.07ms,CCTV1,http://1.58.246.115:4000/rtp/229.58.190.151:5000
513.66ms,CCTV1,http://180.105.201.177:9981/rtp/239.49.8.19:9614
517.54ms,CCTV1,http://111.162.204.74:8686/rtp/225.1.1.120:5002
514.60ms,CCTV1,http://223.167.230.235:4022/rtp/239.45.3.145:5140
519.07ms,CCTV1,http://180.105.201.177:9981/rtp/239.49.8.129:6000
584.69ms,CCTV1,http://121.29.141.197:4022/rtp/239.253.92.83:8012
413.82ms,CCTV1,http://114.107.44.68:8188/rtp/238.1.78.166:7200
452.49ms,CCTV1,http://218.86.185.35:8188/rtp/238.255.2.91:5999
429.34ms,CCTV1,http://121.231.65.86:8095/rtp/239.49.8.19:9614
441.04ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.53:8060
454.66ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.33:8002
491.46ms,CCTV1,http://36.46.98.117:8025/rtp/239.112.205.59:5140
460.46ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.126:8002
493.18ms,CCTV1,http://106.116.241.117:9999/rtp/239.254.200.45:8008
491.69ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.1:8008
442.98ms,CCTV1,http://223.167.245.20:8001/rtp/239.45.3.145:5140
447.62ms,CCTV1,http://114.100.195.157:4022/rtp/238.1.78.166:7200
486.02ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.81:8176
995.73ms,CCTV1,http://116.235.57.69:4022/rtp/239.45.3.145:5140
517.93ms,CCTV1,http://27.184.29.216:12312/rtp/239.254.200.45:8008
579.00ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.210:8068
1162.22ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.33:8002
834.66ms,CCTV1,http://1.58.246.115:4001/rtp/229.58.190.72:5000
420.67ms,CCTV2,http://114.254.33.252:18888/rtp/239.3.1.60:8084
440.18ms,CCTV2,http://118.78.196.204:55555/rtp/226.0.2.154:9144
460.50ms,CCTV2,http://115.171.80.57:1688/rtp/225.1.8.2:8084
434.35ms,CCTV2,http://116.235.57.69:4022/rtp/239.45.3.208:5140
926.01ms,CCTV1,https://stream1.freetv.fun/cctv1-30.m3u8
864.38ms,CCTV1,https://stream1.freetv.fun/cctv1-38.m3u8
967.92ms,CCTV1,https://stream1.freetv.fun/cctv1-37.m3u8
1488.68ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.126:8002
1493.64ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.53:8060
496.18ms,CCTV2,http://1.195.227.213:8822/rtp/239.16.20.2:10020
1523.57ms,CCTV1,http://111.113.88.198:2000/rtp/239.121.4.113:8636
630.75ms,CCTV1,https://stream1.freetv.fun/cctv1-49.m3u8
630.48ms,CCTV1,https://stream1.freetv.fun/cctv1-43.m3u8
618.05ms,CCTV2,http://1.58.246.115:4000/rtp/229.58.190.153:5000
537.65ms,CCTV2,http://121.29.141.197:4022/rtp/239.253.92.190:6065
871.95ms,CCTV1,https://stream1.freetv.fun/cctv1-25.m3u8
1216.05ms,CCTV1,http://61.159.134.162:4022/rtp/238.255.2.91:5999
532.09ms,CCTV2,http://111.162.204.74:8686/rtp/225.1.1.133:5002
454.26ms,CCTV2,http://61.159.135.155:4022/rtp/238.255.2.11:5999
439.18ms,CCTV2,http://60.172.82.22:8686/rtp/238.1.78.235:7752
461.68ms,CCTV2,http://111.113.88.198:2000/rtp/239.121.4.155:8914
1006.24ms,CCTV1,https://stream1.freetv.fun/cctv1-81.m3u8
1435.81ms,CCTV1,http://61.159.135.108:18000/rtp/238.255.2.91:5999
448.58ms,CCTV2,http://218.86.185.35:8188/rtp/238.255.2.11:5999
518.36ms,CCTV2,http://180.105.201.177:9981/rtp/239.49.8.50:9802
1024.97ms,CCTV1,https://stream1.freetv.fun/cctv-1gao-qing-3.m3u8
624.77ms,CCTV2,http://180.105.201.177:9981/rtp/239.49.8.130:6000
438.65ms,CCTV2,http://121.231.65.86:8095/rtp/239.49.8.50:9802
452.94ms,CCTV2,http://115.171.216.120:4000/rtp/225.1.8.2:8084
1519.63ms,CCTV1,http://115.171.216.120:4000/rtp/225.1.8.194:4120
446.52ms,CCTV2,http://223.167.245.20:8001/rtp/239.45.3.208:5140
484.52ms,CCTV2,http://106.116.241.117:9999/rtp/239.254.200.158:6000
508.08ms,CCTV2,http://36.46.98.117:8025/rtp/239.112.205.78:5140
433.78ms,CCTV2,http://61.159.135.108:18000/rtp/238.255.2.11:5999
1080.73ms,CCTV2,http://223.198.242.106:4000/rtp/239.253.64.195:5140
590.99ms,CCTV2,http://223.167.230.235:4022/rtp/239.45.3.208:5140
2068.26ms,CCTV1,http://27.191.201.134:19999/rtp/239.254.200.45:8008
1209.15ms,CCTV1,https://stream1.freetv.fun/cctv1-28.m3u8
447.31ms,CCTV2,http://114.100.195.157:4022/rtp/238.1.78.235:7752
481.81ms,CCTV2,http://27.184.29.216:12312/rtp/239.254.200.158:6000
570.88ms,CCTV2,https://stream1.freetv.fun/cctv2-62.m3u8
449.94ms,CCTV3,http://118.78.196.204:55555/rtp/226.0.2.208:9576
465.99ms,CCTV3,http://114.254.33.252:18888/rtp/239.3.1.172:8001
438.59ms,CCTV3,http://223.198.242.106:4000/rtp/239.253.64.244:5140
447.48ms,CCTV3,http://116.235.57.69:4022/rtp/239.45.1.68:5140
484.08ms,CCTV3,http://115.171.80.57:1688/rtp/225.1.8.88:8000
499.63ms,CCTV3,http://121.29.141.197:4022/rtp/239.253.92.191:6057
569.15ms,CCTV3,http://1.195.227.213:8822/rtp/239.16.20.3:10030
800.61ms,CCTV2,https://stream1.freetv.fun/cctv2-35.m3u8
516.91ms,CCTV3,http://111.162.204.74:8686/rtp/225.1.1.158:5002
1218.64ms,CCTV2,http://27.191.201.134:19999/rtp/239.254.200.158:6000
438.92ms,CCTV3,http://61.159.135.155:4022/rtp/238.255.2.133:5999
839.41ms,CCTV2,https://stream1.freetv.fun/cctv-2gao-qing-3.m3u8
851.37ms,CCTV2,https://stream1.freetv.fun/cctv2-51.m3u8
644.12ms,CCTV3,http://180.105.201.177:9981/rtp/239.49.1.3:6000
858.34ms,CCTV2,https://stream1.freetv.fun/cctv2-49.m3u8
449.02ms,CCTV3,http://60.172.82.22:8686/rtp/238.1.78.170:7232
460.94ms,CCTV3,http://111.113.88.198:2000/rtp/239.121.4.151:8890
991.13ms,CCTV2,https://stream1.freetv.fun/cctv2-24.m3u8
1023.09ms,CCTV2,https://stream1.freetv.fun/cctv2-44.m3u8
1050.62ms,CCTV2,https://stream1.freetv.fun/cctv2-55.m3u8
470.58ms,CCTV3,http://223.167.230.235:4022/rtp/239.45.1.68:5140
458.56ms,CCTV3,http://114.107.44.68:8188/rtp/238.1.78.170:7232
1475.62ms,CCTV2,http://114.107.44.68:8188/rtp/238.1.78.235:7752
1491.62ms,CCTV2,http://121.231.65.86:8095/rtp/239.49.8.130:6000
1014.29ms,CCTV2,https://stream1.freetv.fun/cctv2-17.m3u8
448.93ms,CCTV3,http://218.86.185.35:8188/rtp/238.255.2.133:5999
400.75ms,CCTV3,http://223.167.245.20:8001/rtp/239.45.1.68:5140
434.01ms,CCTV3,http://61.159.135.108:18000/rtp/238.255.2.133:5999
505.51ms,CCTV3,http://36.46.98.117:8025/rtp/239.112.205.221:5140
507.78ms,CCTV3,http://106.116.241.117:9999/rtp/239.254.201.152:7205
